ano,semana_epidemiologica,fecha_inicio_semana_epidemiologica,grupo_etario,departamento_residencia,dengue confirmed,,semana_epidemiologica,Semena
2024,4,2024-01-21,"[0,10)",COMUNA 12,0,,,
2024,4,2024-01-21,"[10,20)",COMUNA 12,0,,,
2024,4,2024-01-21,"[20,30)",COMUNA 12,0,,,
2024,4,2024-01-21,"[30,40)",COMUNA 12,0,,,
2024,4,2024-01-21,"[40,50)",COMUNA 12,2,,,
2024,4,2024-01-21,"[50,60)",COMUNA 12,3,,,
2024,4,2024-01-21,"[60,70)",COMUNA 12,0,,,
2024,4,2024-01-21,"[70,80)",COMUNA 12,0,,,
2024,4,2024-01-21,"[0,10)",COMUNA 13,0,,,
2024,4,2024-01-21,"[20,30)",COMUNA 13,1,,,
2024,4,2024-01-21,"[30,40)",COMUNA 13,0,,,
2024,4,2024-01-21,"[40,50)",COMUNA 13,1,,,
2024,4,2024-01-21,"[50,60)",COMUNA 13,0,,,
2024,4,2024-01-21,"[60,70)",COMUNA 13,0,,,
2024,4,2024-01-21,"[70,80)",COMUNA 13,1,,,
2024,4,2024-01-21,"[80,90)",COMUNA 13,2,,,
2024,4,2024-01-21,"[90,100)",COMUNA 13,0,,,
2024,4,2024-01-21,"[0,10)",COMUNA 14,0,,,
2024,4,2024-01-21,"[10,20)",COMUNA 14,1,,,
2024,4,2024-01-21,"[20,30)",COMUNA 14,0,,,
2024,4,2024-01-21,"[30,40)",COMUNA 14,1,,,
2024,4,2024-01-21,"[40,50)",COMUNA 14,0,,,
2024,4,2024-01-21,"[50,60)",COMUNA 14,0,,,
2024,4,2024-01-21,"[60,70)",COMUNA 14,0,,,
2024,4,2024-01-21,"[70,80)",COMUNA 14,1,,,
2024,4,2024-01-21,"[0,10)",COMUNA 15,0,,,
2024,4,2024-01-21,"[10,20)",COMUNA 15,2,,,
2024,4,2024-01-21,"[20,30)",COMUNA 15,5,,,
2024,4,2024-01-21,"[30,40)",COMUNA 15,2,,,
2024,4,2024-01-21,"[40,50)",COMUNA 15,2,,,
2024,4,2024-01-21,"[50,60)",COMUNA 15,0,,,
2024,4,2024-01-21,"[60,70)",COMUNA 15,1,,,
2024,4,2024-01-21,"[70,80)",COMUNA 15,2,,,
2024,4,2024-01-21,"[90,100)",COMUNA 15,0,,,
2024,4,2024-01-21,"[10,20)",COMUNA 2,0,,,
2024,4,2024-01-21,"[20,30)",COMUNA 2,0,,,
2024,4,2024-01-21,"[60,70)",COMUNA 2,0,,,
2024,4,2024-01-21,"[10,20)",COMUNA 3,1,,,
